solution ID | behavioural descriptor | fit | vals for solutions
0    0.00069275172427296638 0.24660767614841461  -162.34474182128906         -4.993072509765625 -2.5339231491088867 4.6416301727294922 2.7954950332641602 1.0696983337402344 -2.0052938461303711 0.085527896881103516 1.4796695709228516 2.1902890205383301 -4.0724396705627441 
1    0 0.58577471971511841  -180.82060241699219         -5 0.85774707794189453 0.35400962829589844 4.7924995422363281 4.0984411239624023 1.2858033180236816 3.0137462615966797 3.2520542144775391 -3.7450451850891113 -3.2144804000854492 
2    0.0050034117884933949 0.69550228118896484  -238.12495422363281         -4.9499659538269043 1.9550228118896484 -1.8188400268554688 -2.5361573696136475 4.6105842590332031 4.7597017288208008 -0.58098983764648438 -4.4339084625244141 0.48833417892456055 3.7412605285644531 
3    0.01034392137080431 0.0083210431039333344  -232.51736450195312         -4.8965606689453125 -4.9167895317077637 2.0585832595825195 -3.4697821140289307 1.5309419631958008 -3.5738325119018555 -4.9544434547424316 -1.3300371170043945 4.5565280914306641 0.22799491882324219 
4    0.011477392166852951 0.055358957499265671  -246.52192687988281         -4.8852262496948242 -4.4464101791381836 2.523594856262207 1.6230244636535645 3.5577869415283203 -3.6705350875854492 3.3162393569946289 -4.0058202743530273 -4.0044121742248535 -0.38167905807495117 
5    0.0086643928661942482 0.10490461438894272  -192.50498962402344         -4.9133563041687012 -3.9509539604187012 2.7679500579833984 3.3398618698120117 -2.5321273803710938 0.0733184814453125 -3.5348005294799805 -0.40795707702636719 -3.6788983345031738 0.92721080780029297 
6    0.0079081840813159943 0.24472086131572723  -161.2518310546875         -4.9209179878234863 -2.5527913570404053 1.0534806251525879 2.1922898292541504 3.5743284225463867 -0.96624517440795898 -2.1458034515380859 1.0373296737670898 -4.4774031639099121 -0.31813907623291016 
7    0.009549030102789402 0.52654480934143066  -133.32261657714844         -4.9045095443725586 0.26544809341430664 -3.924494743347168 2.9904136657714844 2.1884098052978516 3.2161970138549805 -0.90573263168334961 -3.0065224170684814 -1.7458033561706543 -3.1959290504455566 
8    0.012649058364331722 0.96552461385726929  -197.56759643554688         -4.873509407043457 4.6552457809448242 -4.791649341583252 -2.2727248668670654 1.388636589050293 2.0488262176513672 2.7125005722045898 -0.97829723358154297 3.5702371597290039 2.9182348251342773 
9    0.012561678886413574 0.97999727725982666  -240.839111328125         -4.8743829727172852 4.7999725341796875 -1.6612341403961182 -1.382087230682373 -4.5910015106201172 0.48250913619995117 -4.6164593696594238 1.2044658660888672 -4.2790708541870117 -0.24370574951171875 
10    0.022271117195487022 0.38567739725112915  -163.39834594726562         -4.7772889137268066 -1.143226146697998 0.23323297500610352 -2.7757151126861572 -2.0005228519439697 -0.0020422935485839844 2.40277099609375 0.85814189910888672 -3.4274966716766357 -4.6103920936584473 
11    0.020764851942658424 0.82936650514602661  -236.72340393066406         -4.7923517227172852 3.2936649322509766 1.6102166175842285 -3.7997198104858398 -3.5047249794006348 -2.088341236114502 -0.20029592514038086 -4.5765700340270996 4.2510623931884766 -4.8388266563415527 
12    0.025607837364077568 0.4304375946521759  -206.45271301269531         -4.7439217567443848 -0.69562387466430664 1.4544649124145508 -3.415006160736084 3.9639873504638672 -1.9369316101074219 -3.5405683517456055 2.7815790176391602 -1.7301404476165771 -4.2071714401245117 
13    0.025553345680236816 0.48635146021842957  -247.43605041503906         -4.7444667816162109 -0.13648557662963867 1.3076753616333008 4.7375822067260742 1.9358835220336914 4.3580808639526367 -3.6637511253356934 -4.6482629776000977 3.6023178100585938 2.5693035125732422 
14    0.032657578587532043 0.49807935953140259  -196.93017578125         -4.673424243927002 -0.019206523895263672 0.94841384887695312 3.4725179672241211 -0.80277156829833984 -3.727114200592041 -3.3404555320739746 -3.8057055473327637 -3.564378023147583 -3.1637544631958008 
15    0.025420162826776505 0.55510568618774414  -255.35035705566406         -4.7457985877990723 0.55105686187744141 -4.0896821022033691 -4.7527852058410645 3.9488554000854492 -3.2489249706268311 4.2607231140136719 -4.5415239334106445 -4.3953471183776855 0.77323007583618164 
16    0.025727931410074234 0.89528143405914307  -200.32447814941406         -4.7427206039428711 3.9528141021728516 -4.753145694732666 -2.2785286903381348 2.8483762741088867 -0.36550188064575195 2.613074779510498 -2.2718796730041504 2.2107057571411133 -0.43915843963623047 
17    0.036748725920915604 0.38197264075279236  -205.2698974609375         -4.6325125694274902 -1.1802735328674316 4.7358474731445312 3.2224187850952148 3.2904243469238281 -0.78378629684448242 -0.83527946472167969 -1.6999759674072266 4.6500787734985352 1.3378868103027344 
18    0.043713364750146866 0.67168784141540527  -198.14132690429688         -4.5628662109375 1.7168784141540527 2.4989652633666992 0.038465976715087891 3.3219795227050781 -2.6080842018127441 3.6213207244873047 -1.5844488143920898 -2.9736332893371582 0.82592296600341797 
19    0.036826636642217636 0.93828403949737549  -278.4881591796875         -4.6317334175109863 4.3828401565551758 4.4775524139404297 2.695192813873291 -3.3112778663635254 4.9274415969848633 1.6874175071716309 -4.9019970893859863 -2.1750636100769043 4.5063362121582031 
20    0.051202595233917236 0.055476129055023193  -262.4373779296875         -4.4879741668701172 -4.4452385902404785 2.4722528457641602 4.508814811706543 4.6926364898681641 -3.3617873191833496 2.539215087890625 1.9770708084106445 1.0289821624755859 -3.7842755317687988 
21    0.046379152685403824 0.26315376162528992  -98.704345703125         -4.5362086296081543 -2.3684623241424561 0.11527919769287109 -1.0816330909729004 1.0822896957397461 -0.13522672653198242 -1.0259482860565186 -0.71353483200073242 1.1219463348388672 -1.1795296669006348 
22    0.053212344646453857 0.29370546340942383  -199.29238891601562         -4.4678764343261719 -2.0629453659057617 0.47898006439208984 -2.0115785598754883 4.6191434860229492 -3.1246914863586426 1.7828159332275391 1.4132599830627441 -3.895470142364502 4.2774667739868164 
23    0.045483611524105072 0.46917778253555298  -194.07429504394531         -4.5451641082763672 -0.30822229385375977 -0.076840877532958984 2.3483848571777344 -1.4310610294342041 3.5081014633178711 -0.32384204864501953 4.2961397171020508 0.32053375244140625 -1.9906096458435059 
24    0.051958367228507996 0.47546404600143433  -212.92929077148438         -4.4804162979125977 -0.24535942077636719 -4.5842413902282715 -1.3696737289428711 3.473048210144043 -3.0480518341064453 3.8907442092895508 -1.8254110813140869 -1.5522465705871582 -1.7154076099395752 
25    0.049360975623130798 0.49107509851455688  -185.92660522460938         -4.5063900947570801 -0.089249134063720703 4.3800191879272461 -1.3603923320770264 0.97259235382080078 -3.1905670166015625 -3.6725425720214844 -1.8221018314361572 -1.9183521270751953 3.4004125595092773 
26    0.045830313116312027 0.51860725879669189  -194.78387451171875         -4.5416970252990723 0.18607234954833984 -2.8360593318939209 2.960601806640625 -3.4994568824768066 -2.4336981773376465 1.692389965057373 -1.6094412803649902 3.9091434478759766 3.1744003295898438 
27    0.050813864916563034 0.55418717861175537  -223.81735229492188         -4.4918613433837891 0.54187202453613281 -3.8703701496124268 -0.46044588088989258 -0.78882837295532227 -0.92496871948242188 4.4219236373901367 -4.1913485527038574 -4.6739897727966309 3.9138774871826172 
28    0.053469210863113403 0.58577471971511841  -203.67526245117188         -4.4653077125549316 0.85774707794189453 0.35400962829589844 4.7924995422363281 4.0984411239624023 1.2858033180236816 3.8949089050292969 3.2520542144775391 -3.7450451850891113 -3.2144804000854492 
29    0.048528939485549927 0.6988527774810791  -175.22666931152344         -4.5147104263305664 1.988527774810791 -3.2057151794433594 4.7740287780761719 0.15864419937133789 -0.78130340576171875 -4.13946533203125 4.3093404769897461 -1.0393447875976562 -3.1579403877258301 
30    0.058081604540348053 0.0081680361181497574  -201.08322143554688         -4.4191837310791016 -4.9183197021484375 -2.6285650730133057 4.7674007415771484 -2.0633866786956787 1.2699623107910156 3.6065092086791992 0.98988819122314453 -1.0615997314453125 3.4147424697875977 
31    0.062118973582983017 0.36750149726867676  -203.41067504882812         -4.3788104057312012 -1.3249850273132324 1.2365016937255859 -2.2908809185028076 -3.7032673358917236 0.51381778717041016 0.76888132095336914 -4.9619336128234863 -3.2260937690734863 -1.4865503311157227 
32    0.057456228882074356 0.44229969382286072  -230.16719055175781         -4.4254379272460938 -0.57700300216674805 -0.71176433563232422 3.7548408508300781 -1.70102858543396 -2.4134511947631836 -2.4970099925994873 4.3189353942871094 -4.0036306381225586 3.819188117980957 
33    0.059370417147874832 0.47916695475578308  -130.66001892089844         -4.4062957763671875 -0.20833063125610352 0.37283992767333984 -0.86010408401489258 3.7286157608032227 -1.0729913711547852 0.98679924011230469 3.8009147644042969 -0.81187534332275391 1.8532319068908691 
34    0.07022520899772644 0.056921973824501038  -237.693115234375         -4.2977480888366699 -4.4307804107666016 -3.1176657676696777 1.6996841430664062 3.5179433822631836 -2.3632926940917969 -4.7872247695922852 -3.1277103424072266 3.1881599426269531 4.9999256134033203 
35    0.070145063102245331 0.19212254881858826  -232.71878051757812         -4.2985491752624512 -3.0787744522094727 4.8956327438354492 -1.4974684715270996 3.7288455963134766 -4.3997898101806641 0.39122867584228516 3.0944967269897461 4.5347003936767578 1.2273035049438477 
36    0.071845903992652893 0.24436041712760925  -167.10626220703125         -4.2815408706665039 -2.5563957691192627 2.2360415458679199 2.7290773391723633 1.4209074974060059 -2.8802523612976074 3.1469802856445312 -2.9116721153259277 0.68862152099609375 1.1962370872497559 
37    0.071845903992652893 0.24921503663063049  -166.9080810546875         -4.2815408706665039 -2.5078496932983398 2.2360415458679199 2.7290773391723633 1.4209074974060059 -2.8802523612976074 3.1469802856445312 -3.0332112312316895 0.68862152099609375 1.1962370872497559 
